review_id,branch_id,review_date,dominant_topic,dominant_topic_weight
Ci9DQUlRQUNvZENodHljRjlvT2taRk9XWlpSM3AxUmpCdkxYUklSMUJwTlY5R09GRRAB,banjara_hills,2026-08-11T13:24:04.858000+00:00,6,0.039325
Ci9DQUlRQUNvZENodHljRjlvT25GdVJIWTNaMGR0ZWxwa2NFVXlZVXAxU2xvM1IzYxAB,banjara_hills,2026-08-10T18:30:27.928000+00:00,6,0.012655
Ci9DQUlRQUNvZENodHljRjlvT25OS2NHRjBSbWhaYldjMk16WXhPVXRTTVhSdlRVRRAB,banjara_hills,2026-08-10T02:28:25.391000+00:00,0,0.025038
Ci9DQUlRQUNvZENodHljRjlvT2xNNFZXaERhSGhWVG1aSE9XbGZaVnBNTWpOd1FYYxAB,banjara_hills,2026-08-09T19:05:45.496000+00:00,4,0.053986
Ci9DQUlRQUNvZENodHljRjlvT25kWGIxaGFTMmd4ZEVWRU9URlRTMlpSTm5KeGFtYxAB,banjara_hills,2026-08-09T13:50:56.836000+00:00,4,0.040388
Ci9DQUlRQUNvZENodHljRjlvT2xKbmJWSjVNbmQ1YkVWVlMwTlNORzVRV0VzNExXYxAB,banjara_hills,2026-08-08T17:31:46.964000+00:00,2,0.002958
Ci9DQUlRQUNvZENodHljRjlvT2xsa2NXTTNaRmw1UlVGNE1EYzRNWFJQUjBWc1YzYxAB,banjara_hills,2026-08-08T03:07:38.104000+00:00,3,0.061031
Ci9DQUlRQUNvZENodHljRjlvT21kRFJsUkVWek01UlRGQldHbDBWMFZqUzJSTFgwRRAB,banjara_hills,2026-08-06T14:10:28.513000+00:00,4,0.021393
Ci9DQUlRQUNvZENodHljRjlvT2xWNWEwRk1ZV2hUUVc5WE0yUlhNbFJ4UTNGWVNsRRAB,banjara_hills,2026-08-05T07:15:07.784000+00:00,1,0.05486
Ci9DQUlRQUNvZENodHljRjlvT2s4MFNURlFaa3BzTW5waVdqQjNkbTVPWkRKVWFGRRAB,banjara_hills,2026-08-03T10:16:54.279000+00:00,4,0.018906
Ci9DQUlRQUNvZENodHljRjlvT2pSMlJHcGljVk5NUWxWc1MzSjJlbkkzV0VSa2NXYxAB,banjara_hills,2026-07-29T02:56:01.317000+00:00,7,0.02993
Ci9DQUlRQUNvZENodHljRjlvT2xCSlNEazVWRFp0WDBwSWRVWkJkRzluZWtWMlluYxAB,banjara_hills,2026-07-28T19:52:30.720000+00:00,6,0.030772
Ci9DQUlRQUNvZENodHljRjlvT2xOS2FsTXRZVlZLUTFGNU1VdDRjM0ZGYW1OdE4zYxAB,banjara_hills,2026-07-23T18:07:52.443000+00:00,6,0.066298
Ci9DQUlRQUNvZENodHljRjlvT25GWk1ESkdaRmx4T1ZwelRIWlJWMlUyVlU1dVVGRRAB,banjara_hills,2026-07-21T19:54:58.708000+00:00,7,0.036191
Ci9DQUlRQUNvZENodHljRjlvT2xvNVNVcDBOemRRZVZwRlZYaHRWMHBrV0RKa1VHYxAB,banjara_hills,2026-07-21T16:02:08.805000+00:00,7,0.019769
ChZDSUhNMG9nS0VJQ0FnSURxdWNXcFZnEAE,banjara_hills,2026-07-21T15:41:48.073000+00:00,0,0.032856
Ci9DQUlRQUNvZENodHljRjlvT25oTFVrOW5ibTU2U0RKd05qRkRWRlpsTlRSSU4xRRAB,banjara_hills,2026-07-21T12:49:42.682000+00:00,2,0.01661
Ci9DQUlRQUNvZENodHljRjlvT2t4dk1YVmFPRVprVmxKQ1NHeFhjV1JKVmt4Zk5sRRAB,banjara_hills,2026-07-18T22:10:11.663000+00:00,4,0.032735
Ci9DQUlRQUNvZENodHljRjlvT2kxMWRrUk5RakJ2TTFsc1dsSTNNSFJKUW1ndGVuYxAB,banjara_hills,2026-07-15T09:03:54.734000+00:00,4,0.025819
Ci9DQUlRQUNvZENodHljRjlvT21WVWJGOXFWbEppVDBkTGJrOVVNalZEZW1KTE4zYxAB,banjara_hills,2026-07-09T08:49:56.923000+00:00,1,0.027855
Ci9DQUlRQUNvZENodHljRjlvT2kwd0xXWkxSUzE1UjI5YVZrOUphV2x4ZUdkRGFVRRAB,banjara_hills,2026-07-08T14:10:34.553000+00:00,2,0.053832
Ci9DQUlRQUNvZENodHljRjlvT2tWeVdrdzJSRFpEU0doQlJVY3dZbDkxZWpCaVdIYxAB,banjara_hills,2026-07-04T16:47:55.285000+00:00,2,0.038167
Ci9DQUlRQUNvZENodHljRjlvT25od0xYSmxZMHBEVEU5WVIwdDNkbTlqZVMxbVkzYxAB,banjara_hills,2026-07-02T13:36:24.741000+00:00,4,0.075725
Ci9DQUlRQUNvZENodHljRjlvT2xCVFZFNHlkRzR0UlZsdU9WZE1iVTV2Y0VWbFYxRRAB,banjara_hills,2026-07-02T10:32:15.817000+00:00,4,0.007465
